cytoband	11q25	17q21.31	8p22	19p13.3	6q27	11p15.5	6q15	9p23	2q37.3	3p14.2	17p12	13q14.2	12q24.21	1p36.31	14q24.3	15q13.1	19q13.32	9p21.3	10q26.3	9q21.12	1p13.3	16q24.2	18q23	5q12.3	18p11.31	17p11.2	4p16.3	3p12.2	4q35.2	8p11.21	8q24.3	1p36.32	7q36.1	13q11	21q21.3	1p36.23	7p22.3	2p24.1	22q13.32	21q11.2	
			SLC39A14	LINC01002	LINC01624	BRSK2			UGT1A6	TNNC1			BRAP		C14orf1	DKFZP434L187	NTF4		SMC3	FOXD4L3	MSH4	MT1X		NAIP			CYTL1	TDGF1			NAPRT	RAP1GAP	PAX4		MIR548X	GJA4	PAPOLB	OTOF	PPP6R2	MIR548X	
			FBXO25	PRSS57	GTF2H5	MICAL2			UGT1A5	UBA7			ULK1		VASH1	BLOC1S6	NUCB1		NEURL1	SPATA31D5P	NGF	MT2A		NDUFS4			SH3TC1	TGM4			MFSD3	RHCE	PCOLCE		MIR3118-1	GJB3	C1GALT1	CRIPT	SFI1	MIR3118-1	
			FGF20	FAM138A	LINC00602	CTR9			UGT1A9	USP4			EEA1		ZBTB1	GREM1	PAFAH1B3		BUB3	FOXD4L4	NHLH2	MT3		NEUROG1			NKX1-1	TKT			RHPN1	RHD	SLC26A4		MIR3156-3	GJB5	FAM20C	ROCK2	ZBED4	MIR3156-3	
			ADAMDEC1	FAM138C	LOC441178	TRIM66			UGT1A4	UQCRC1			RASAL1		SNW1	RPUSD2	PLAUR		NOLC1	AQP7P1	NOTCH2	MVD		PAM			PIGG	TMF1			TOP1MT	RNU1-4	PIK3CG		MIR3687-1	GNB1	ANKMY2	TP53I3	JOSD1	MIR3687-1	
			CNOT7	LOC100288123	AFDN-AS1	TSPAN32			UGT1A1	VIPR1			MAPKAPK5		PCNX1	TUBGCP4	POLD1		GSTO1	PTAR1	NRAS	NFATC3		PCSK1			DCAF16	CLEC3B			LYPD2	SNORA73A	PIP		MIR3648-1	SFN	RBAK	MRPL33	RBX1	MIR3648-1	
			ZDHHC2	MIR1909	SNORA20	TSSC4			UGT1A3	WNT5A			DENR		TTLL5	EHD4	POU2F2		BAG3	FGF7P6	ROR1	CHMP1A		PDE4D			LGI2	TNNC1			COL22A1	RPA2	PMS2P1		LINC01549	GPR3	NPVF	BRE	SCO2	LINC01549	
			SLC25A37	MIR1302-2	SNORA29	MRVI1			PID1	ZNF35			OASL		SYNE2	DUOX2	PPP5C		SH3PXD2A	SPATA31A6	OVGP1	PHKB		PGGT1B			TBC1D19	UBA7			ADCK5	RPL11	PODXL		LOC100507412	GPX7	C7orf26	PREPL	HMGXB4	LOC100507412	
			SCARA3	MIR1302-9	TMEM242	TRIM22			ATG16L1	IFRD2			DYNLL1		ANGEL1	NDUFAF1	PRRG2		FAM53B	GLIDR	PDE4B	PLCG2		PIK3R1			PI4K2B	USP4			TSNARE1	RPL22	POLR2J		MIR4759	GRIK3	MICALL2	FEZ2	TOM1	MIR4759	
			KCTD9	MIR1302-10	LOC729603	IFITM3			USP40	MAPKAPK3			SRSF9		ZFYVE26	NUSAP1	PSG1		SLK	SPATA31D4	PDZK1	POLR2C		PITX1			BLOC1S4	UQCRC1			MAPK15	RPS6KA1	PPP1R3A		RNA45S5	GUCA2A	FBXL18	SOCS5	DNAL4	RNA45S5	
			PINX1	MIR3187	PACRG-AS3	DEAF1			HJURP	SEMA3B			CRADD		TTC9	EMC4	PSG2		DCLRE1A	SPATA31D3	PGM1	PSKH1		PMCHL2			STK32B	VIPR1			ZNF707	RSC1A1	PRKAR2B		SAMSN1-AS1	GUCA2B	TTYH3	GREB1	PKDREJ	SAMSN1-AS1	
			PIWIL2	MIR1302-11	HGC6.3	IPO7			HES6	SLMAP			HRK		FLRT2	SPTBN5	PSG3		FRAT1	SPATA31D1	PIN1P1	PSMB10		PPIC			LYAR	WNT5A			BREA2	SCNN1D	PRSS1		BACH1-IT2	HCRTR1	USP42	LAPTM4A	CACNG2	BACH1-IT2	
			INTS10	MIR4745	LOC100129518	IFITM2			DOCK10	MANF			ADAM1A		PLEKHG3	CTDSPL2	PSG4		ACTR1A	LOC389765	PRKAB2	PSMD7		PPP2CA			SLC2A9	ZNF35			FAM83H	SDHB	PRSS2		CYYR1-AS1	HDAC1	PSMG3	RNF144A	TAB1	CYYR1-AS1	
			CCDC25	RNU6-7	C6orf99	TRIM3			C2orf83	ACOX2			SOCS2		SIPA1L1	KLF13	PSG5		SMNDC1	C9orf153	PRKACB	RBL2		RAD17			NWD2	IFRD2			LINC01591	SRSF4	RELN		MIR548XHG	ZBTB48	C7orf50	SNX17	SLC25A17	MIR548XHG	
			AGPAT5	RNU6-2	LOC100131532	OR7E12P			MFF	BAP1			HCAR3		DCAF4	DUOX1	PSG6		NPM3	CTSL3P	PKN2	RPL13		RASA1			TBC1D14	MAPKAPK3			ZNF252P	SKI	PSMC2		LINC01425	HMGN2	CARD11	SUPT7L	DDX17	LINC01425	
			CSGALNACT1		AIRN	LYVE1			ACKR3	HYAL3			HIP1R		PLEK2	MAGEL2	PSG7		GLRX3	LOC392364	PSMA5	RRAD		RASGRF2			SORCS2	SEMA3B			TMED10P1	SLC2A5	TAS2R38		LOC101927843	HMGCL	TNRC18	PREB	RFPL3S	LOC101927843	
			HR		LOC100289495	KCNQ1OT1			RNPEPL1	CADPS			PIWIL1		MLH3	DLL4	PSG9		DPYSL4	FAM74A1	PTGER3	SALL1		RPS23			CC2D2A	SLMAP			ZNF252P-AS1	SLC9A1	PTN		LOC101927869	HPCA	FAM126A	LRPPRC	RFPL3	LOC101927869	
			PBK		MIR1913	PKP3			WDFY1	HYAL2			CABP1		KCNH5	INO80	PSG11		TACC2	FAM74A4	PTGFR	CCL17		SKP1			STIM2	MANF			C8orf31	SRM	PTPRN2		LOC101927973	HSPG2	FAM220A	PDIA6	RFPL2	LOC101927973	
			BIN3		MIR1202	SWAP70			NYAP2	SUCLG2			NCOR2		FOXN3-AS2	PPP1R14D	PTGIR		ERLIN1	ZNF658B	PTGFRN	CCL22		SLC12A2			UVSSA	ACOX2			ZFP41	TAF12	PTPRZ1		C21orf140	HTR1D	SCIN	CEBPZ	NUP50	C21orf140	
			MTUS1		MIR3918	DENND5A			GAL3ST2	HESX1			WSCD2		POMT2	MTMR10	PVR		LBX1	C9orf170	ABCD3	CX3CL1		SLC22A4			ZFYVE28	BAP1			GPIHBP1	TCEA3	RARRES2		MIR6724-1	HTR6	ZFAND2A	MYCNOS	TOB2	MIR6724-1	
			KIAA1456		MIR3939	RRP8			RAB17	BSN			SART3		COQ6	ZNF770	NECTIN2		MGEA5	LOC403323	RABGGTB	SIAH1		SLC22A5			GBA3	HYAL3			NRBP2	TCEB3	RHEB		MIR8069-1	ID3	COX19	CDC42EP3	KDELR3	MIR8069-1	
			CCAR2		MIR3692	SIRT3			COPS7B	LIMD1			KNTC1		FCF1	HAUS2	RELB		TUBGCP2	MIR204	RAP1A	ST3GAL2		SMN1			AFAP1	CGGBP1			ZNF517	TNFRSF1B	RNY1		MIR6130	IL12RB2	CCDC126	CGREF1	IFT27	MIR6130	
			SH2D4A		KIF25-AS1	OR52A1			MRPL44	CCRL2			MLEC		RDH11	RMDN3	RPL18		PRDX3	MIR7-1	RNU1-4	SLC6A2		SMN2			NCAPG	CADPS			WDR97	TP73	RNY3		LOC102723360	TNFRSF9	GLCCI1	SIX2	TRIOBP	LOC102723360	
			PDLIM2		CAHM	ARFIP2			TRPM8	UBA3			GIT2		COX16	DNAJC17	RPS11		VAX1	IDNK	SNORD21	SLC9A5		SNX2			TNIP2	HYAL2			TMEM249	TNFRSF4	RNY4		KCNE1B	INPP5B	PSMG3-AS1	RAB10	CDC42EP1	KCNE1B	
			CSMD1		MIR4466	OR5E1P			MLPH	RPL14			NUAK1		ATP6V1D	NOP10	RPS19		ATE1	LOC440173	RPE65	SLC12A3		SPOCK1			HAUS3	SUCLG2			SPATC1	ZBTB17	RNY5		SMIM11B	IPP	GPR146	YWHAQ	DMC1	SMIM11B	
			EBF2		MIR4644	OR10A3			IQCA1	SEC22C			RBM19		SIX4	NSMCE3	RRAS		SEC23IP	LOC440896	RPL5	SLC12A4		SRP19			ABCA11P	HESX1			MROH5	SLC30A2	SHH		LOC102724188	JAK1	MALSU1	EMILIN1	RABL2B	LOC102724188	
			FAM160B2		RPS6KA2-AS1	TIMM10B			FAM124B	RRP9			RNF10		ZFYVE1	EMC7	RTN2		RAB11FIP2	ANKRD20A3	SORT1	SNTB2		TAF9			GRPEL1	BSN			MAFA	LUZP1	SLC4A2		LOC102724219	JUN	C7orf31	GPN1	PACSIN2	LOC102724219	
			MTMR9		SYNJ2-IT1	DKK3			TM4SF20	MAGI1			NR1H4		KCNK10	PAK6	CLEC11A		INPP5F	ANKRD20A2	SARS	SPG7		TBCA			MED28	LIMD1			MIR30B	PRDM2	SLC13A1		LOC102724354	STMN1	AMZ1	MAPRE3	TNRC6B	LOC102724354	
			MCPH1		RPS6KA2-IT1	RBMXL2			C2orf54	CACNA2D2			SH2B3		NRDE2	KNL1	SEPW1		NT5C2	AQP7P3	SLC16A1	TAT		TCF7			KCNIP4	CCRL2			MIR30D	LAPTM5	SMARCD3		LOC102724428	LCK	AGR3	SLC4A1AP	GRAMD4	LOC102724428	
			PPP1R3B		EZR-AS1	PGAP2			ARMC9	DCAF1			ARPC3		EXD2	AVEN	SLC1A5		PDCD11	SPATA31C1	STXBP3	TERF2		NR2F1			FGFBP2	UBA3			C8orf82	ARID1A	SMO		U2AF1L5	LEPR	PER4	EFR3B	TTLL12	U2AF1L5	
			NUDT18		LOC101929122	C11orf21			EFHD1	IP6K1			PLXNC1		VRTN	ATP10A	SLC8A2		SORCS3	PTGER4P2-CDK2AP2P2	SYCP1	TK2		TGFBI			MFSD7	RPL14			LRRC24	SNHG3	SPAM1		LOC102724652	TACSTD2	TMEM184A	MYT1L	MLC1	LOC102724652	
			DOCK5		PACRG-AS2	TRPM5			SPHKAP	PSMD6			MPHOSPH9		SYNJ2BP	GJD2	SNRNP70		PPRC1	FOXB2	TAF13	ZNF19		THBS4			TMEM175	SEC22C			MIR151A	NR0B2	AKR1D1		LOC102724843	MAGOH	VWDE	WDR43	ZC3H7B	LOC102724843	
			BIN3-IT1		LOC101929297	UBQLN3			SLC19A3	PARP3			CAMKK2		SLC39A9	STARD9	SNRPA		FAM175B	CBWD3	TBX15	ZNF23		UBE2B			ABLIM2	RRP9			NCRNA00250	MMP23B	SRPK2		MIR6724-2	MATN1	PRPS1L1	LPIN1	KIAA0930	MIR6724-2	
			REEP4		LOC101929420	RNF141			ILKAP	ZNF197			ZNF268		FLVCR2	VPS18	SNRPD2		RRP12	LOC494127	TGFBR3	GAN		VDAC1			AFAP1-AS1	MAGI1			LINC00051	MMP23A	SSBP1		MIR6724-3	MFAP2	TWISTNB	PUM2	GCAT	MIR6724-3	
			STMN4		LOC101929460	IGF2-AS			ITM2C	RBM6			TRAFD1		GPATCH2L	SQRDL	SPIB		DNMBP	C9orf135-AS1	TSHB	SLC7A5		XRCC4			TMEM128	CACNA2D2			MROH6	KCNAB2	SYPL1		LOC105372751	MPL	SP8	RHOQ	CBX6	LOC105372751	
			SOX7		LINC01615	BET1L			RHBDD1	RBM5			TMED2		PPP4R3A	ZNF106	SULT2B1		FRAT2	LOC554249	VCAM1	CDK10		ST8SIA4			ZNF518B	DCAF1			SCX	FCN3	TAC1		LOC105372833	MTF1	BRAT1	HAAO	NPTXR	LOC105372833	
			FAM167A		LOC101929504	CEND1			ING5	NME6			ERP29		TDP1	SPATA5L1	SULT2A1		DPCD	PGM5-AS1	WNT2B	TRADD		REEP5			CCDC149	IP6K1			MIR661	AKR7A2	TAF6		LOC105379511	MTHFR	SDK1	NTSR2	CBX7	LOC105379511	
			SLC35G5		LOC101929523	CYB5R2			MGC16025	EIF1B			CKAP4		SPATA7	CHAC1	TGFB1		SEC31B	PGM5P2	CSDE1	MBTPS1		SERF1A			CTBP1-AS2	PSMD6			MROH1	ALDH4A1	TBXAS1		LOC105379514	MUTYH	FOXK1	PRKD3	SLC16A8	LOC105379514	
			LINC00208		MIR7161	TRIM34			DNER	TRAIP			GCN1		YLPM1	KATNBL1	TULP2		ATRNL1	FRG1JP	EVI5	CES2		ENC1			TMEM129	PARP3			LINC01300	EIF4G3	TFR2		FRGCA	MYCL	MMD2	RASGRP3	MAPK8IP2	FRGCA	
			FAM167A-AS1		MIR7641-2	CDHR5			B3GNT7	ARIH2			METAP2		KCNK13	WDR76	NR1H2		EDRF1	LOC642929	CDC7	NAE1		AP3B1			MRFAP1	ZNF197			MIR937	TNFRSF25	TRIP6			NASP	LOC221946	QPCT	RBFOX2		
			FAM86B1		LOC102724053	TOLLIP			SP140L	ARL6IP5			SDS		CCDC177	TMEM62	VASP		ANKRD2	LINC01189	HIST2H2AA3	NOL3		PDLIM4			LOC93622	RBM6			MIR939	TNFRSF14	UBE2H			NBL1	DAGLB	FAM98A	RASD2		
			ERI1		LOC102724152	USP47			LOC93463	NPRL2			RAB35		ADCK1	SEMA6D	XRCC1		CNNM1	CNTNAP3P2	HIST2H2AC	TAF1C		PLPP1			TADA2B	RBM5			FAM83H-AS1	TNFRSF18	VGF			NDUFS5	CCZ1B	IFT172	SH3BP1		
			LONRF1		LOC102724357	TRIM68			AGAP1	CXCR6			SNRNP35		TMEM63C	SPG11	ZNF45		PDCD4	CBWD6	HIST2H2BE	SLC7A6		PDE8B			HTRA3	NME6			CDC42P3	PER3	VIPR2			NFIA	THSD7A	SH3YL1	PLXNB2		
			CHMP7		LOC102724511	PIDD1			TWIST2	CSPG5			PRDM4		RHOJ	ELL3	ZNF221		VENTX	FLJ43315	HIST2H4A	USP10		P4HA2			C1QTNF7	EIF1B			CCDC166	MAP3K6	ZAN			NFYC	FERD3L	SNORD53	PISD		
			RP1L1		LOC105378098	KCNQ1DN			DIS3L2	CCR9			CIT		GALNT16	NIPA2	ZNF222		R3HCC1L	SPATA31C2	BCAR3	ATP6V0D1		HSPB3			MRFAP1L1	TRAIP			LOC100133669	DHRS3	WNT2			NPPA	RPL23P8	EML4	MAFF		
			CLDN23		MEAT6	PARVA			NEU4	USP19			PWP1		PLEKHH1	C15orf48	ZNF155		POLL	SPATA31A1	TTF2	ADGRG1		ATG12			CLNK	ARIH2			TONSL-AS1	VAMP3	XRCC2			NPPB	SLC29A4	TRIB2	BRD1		
			VPS37A		LOC105378123	MMP26			SPATA3	SLC38A3			FICD		TRMT5	C15orf41	ZNF180		KCNIP2	RPSAP9	ITGA10	BCAR1		NREP			ARAP2	ARL6IP5			LOC100288181	SNRNP40	ZNF3			NRDC	RSPH10B	GRHL1	ARHGAP8		
			NKX2-6		LOC105378127	AKIP1			FBXO36	CYB561D2			NUDT4		ZNF410	ZFYVE19	ZNF223		CUZD1	FOXD4L6	LMO4	VPS9D1		RAB9BP1			CPEB2	NPRL2			MIR1302-7	THEMIS2	ZKSCAN1			YBX1	TMEM196	NRBP1	APOL2		
			SGCZ		LOC105378137	C11orf16			MTERF4	TMEM115			FZD10		NGB	FRMD5	ZNF224		CALY	FOXD4L5	CDC14A	N4BP1		HOMER1			EVC2	CXCR6			MIR1234	H6PD	ZSCAN21			ROR1	STEAP1B	EHD3	AP1B1P1		
			DEFB104A		LOC105378146	TMEM9B			UBE2F	RPP14			MLXIP		RBM25	DISP2	ZNF225		EXOSC1	FGF7P3	RTCA	NUP93		SCAMP1			PACRGL	CSPG5			MINCR	ISG15	ZYX			OPRD1	RPS2P32	ITSN2	TBC1D22A		
			LOC157273			NRIP3			OTOS	FAM107A			RPH3A		VIPAS39	CHRFAM7A	ZNF226		CALHM2	SPATA31A3	FPGT	HERPUD1		CXCL14			OTOP1	CCR9			MIR4472-1	PLCH2	SHFM1			ORC1	TFAMP1	MEMO1	C22orf24		
			SGK223			ASCL3			COPS9	WDR6			P2RX2		SMOC1	ULK4P3	ZNF227		CUTC	SPATA31A5	PEX11B	KIAA0513		H2AFY			ZNF595	USP19			MIR4664	SDC3	ST7			PAFAH2	UNCX	TRAPPC12	CBY1		
			PEBP4			CHRNA10			OR6B3	RASSF1			FBXO21		IRF2BPL	ULK4P1	ZNF112		CHST15	FAM74A3	FUBP1	PIEZO1		SMAD5-AS1			LINC01085	SLC38A3			LOC101927845	CROCC	ARHGEF5			PRDX1	COL28A1	CRIM1	SUN2		
			CDCA2			PNPLA2			LOC150935	NISCH			SETD1B		MPP5	ARHGAP11B	ZNF229		SUFU	CNTNAP3B	BCL10	DHX38		CARTPT			JAKMIP1	CYB561D2			LOC101927915	PUM1	ZNF212			PAX7	ABCB5	DNAJC27	FBXO7		
			ESCO2			PHRF1			LINC01107	TREX1			UHRF1BP1L		ZC2HC1C	DPH6	ZNF230		ACSL5	LOC728673	DIRAS3	IST1		SNCAIP			FAM53A	TMEM115			LOC101928087	CEP104	TRRAP			PDE4B	FAM221A	ATRAID	TTLL1		
			LINC00599			SCUBE2			LOC151174	TUSC2			ANKLE2		C14orf169	C15orf57	SYMPK		ZRANB1	ANKRD20A4	SLC16A4	ATP2C2		TTC37			TRMT44	RPP14			LOC101928160	KLHL21	ZNF282			PEX10	MACC1	NBAS	SAMM50		
			FAM87A			ZBED5			ERFE	TWF2			CUX2		ZC3H14	KNSTRN	MIA		CFAP46	FAM27E3	SRSF11	CLEC3A		ZFYVE16			ADGRA3	FAM107A			LOC101928902	SLC35E2	CUL1			PEX14	RBAKDN	DYNC2LI1	ATXN10		
			TDRP			SIGIRR			SLC16A14	TRAK1			KIAA1033		C14orf159	BMF	LTBP4		NSMCE4A	LOC100132249	CD101	CHST4		PJA2			ZBTB49	WDR6			MIR6846	ZBTB40	TRIM24			PGD	ELFN1	SF3B6	FAM19A5		
			ERICH1			RIC8A			LOC151475	DHX30			MED13L		BBOF1	SHF	TEAD2		CNNM2	FRG1HP	SEP15	MPHOSPH6		DDX46			ZNF721	RASSF1			MIR6847	MFN2	BUD31			PGM1	AGMO	YPEL5	TXN2		
			TDH			MRPL17			LINC00471	SACM1L			SIRT4		SGPP1	DUOXA1	PPFIA3		WBP1L	GXYLT1P3	ZRANB2	NUTF2		EDIL3			LINC00504	NISCH			MIR6848	PTPRU	MGAM			PIK3CD	GRID2IP	CPSF3	TMEM184B		
			C8orf48			EPS8L2			LOC151484	SCAP			ABCB9		SLIRP	SNORD107	PLA2G4C		CCDC186	FAM27C	ARHGAP29	IRX5		COL4A3BP			TAPT1	TREX1			MIR7112	CELA3A	WASL			PLA2G2A	ZNF815P	SNTG2	SULT4A1		
			ZNF596			STK33			MSL3P1	LAMB2P1			ISCU		DNAL1	CHST14	NAPA		CRTAC1	FAM95B1	SEC22B	DNAJA2		RAD50			TAPT1-AS1	TUSC2			MIR6850	WASF2	PLOD3			PLA2G5	LOC401312	ATAD2B	GGA1		
			DEFT1P			CHID1			DAW1	EXOSC7			RIMBP2		RPS6KL1	CASC4	PGLYRP1		CWF19L1	FAM27B	CHD1L	KATNB1		LHFPL2			LCORL	TWF2			MIR6893	ANGPTL7	DGKI			PLOD1	GRIFIN	HEATR5B	RIBC2		
			R3HCC1			OR51G1			C2orf57	PDZRN3			ATP6V0A2		SYT16	TUBGCP5	ARHGEF1		PI4K2A	VPS13A-AS1	CLCA3P	ZNF267		CWC27			ZNF718	TRAK1			MIR6845	HNRNPR	AP4M1			EXOSC10	MIR148A	TMEM214	ARFGAP3		
			PRSS55			OR51B4			TIGD1	RAD54L2			CORO1C		STON2	TGM7	NUMBL		HIF1AN	FAM27E2	CLCA2	EMC8		CCNO			CCDC96	DHX30			MIR6849	SRRM1	ATP6V1F			POU3F1	RNF216P1	SLC35F6	SNORD43		
			C8orf74			OR51B2			LOC200772	FRMD4B			FBXW8		CIPC	CATSPER2	CYTH2		WDR11	MIR1299	HS2ST1	TUBB3		NSA2			BOD1L1	SACM1L			MAFA-AS1	CNKSR1	ASIC3			PPP1R8	PMS2CL	TRMT61B	SMC1B		
			LGI3			OR52N1			C2orf72	STAB1			HSPB8		PAPLN	NIPA1	ZNF235		SLF2	MIR4289	PDE4DIP	CFDP1		FST			CTBP1-AS	SCAP			LOC105375787	UBE4B	PMPCB			PPT1	HRAT92	SRBD1	CYTH4		
			DEFB105A			RIC3			RTP5	NBEAL2			RNU4-2		EFCAB11	PLA2G4E	NAPSA		DHX32	GAS1RR	DNAJC6	CTCF		PAIP1			CRIPAK	LAMB2P1			LOC105375800	MAD2L2	ATP5J2			PRKAA2	LOC442497	ASXL2	CSDC2		
			DEFB106A			SLC25A22			LOC285095	FAM208A			RNU4-1		CHURC1	TRIM69	DHX34		PPP2R2D	MAMDC2-AS1	LRIG2	NFAT5		POLR3G			LOC285484	EXOSC7				PDPN	PDIA4			PRKCZ	MIR339	ADI1	RRP7A		
			DEFB107A			PGGHG			DUSP28	KLHL18			HCAR1		ELMSAN1	PWAR1	SAE1		TDRD1	SMC5-AS1	PLPPR4	NUDT21		PLK2			DOK7	PDZRN3				GMEB1	UBE3C			PSMB2	LOC541472	NDUFAF7	MCAT		
			DEFB109P1			OR51G2			MROH2A	LARS2			UTP20		LIN52	TERB2	TOMM40		BCCIP	LINC01504	RBM8A	WWP2		IQGAP2			LINC00955	RAD54L2				NUDC	FAM131B			PTAFR	ZNF890P	TTC27	APOBEC3C		
			DEFB130			OR51E2			ESPNL	RYBP			MRPL42		NEK9	LOC145845	RABAC1		C10orf2	MIR4477A	INSL5	PRDM7		SEC24A			RNF212	FRMD4B				MASP2	DOCK4			PTPRF	OCM	SLC30A6	DESI1		
			NEIL2			PTDSS2			ECEL1P2	NAT6			IFT81		IFT43	TMCO5A	ZNF234		ENTPD7	BANCR	PIGK	DDX19B		MRPS30			SEPSECS-AS1	STAB1				SRSF10	TCAF1			RAB3B	SNORD93	ALLC	SGSM3		
			LOC254896			MOB2			SPATA3-AS1	ABHD14A			FAM216A		WDR89	ZSCAN29	PPP1R13L		AS3MT	FAM74A7	TSPAN2	GABARAPL2		SMA4			LINC01097	NBEAL2				UTS2	DNAJB6			RAP1GAP	MIR589	DPYSL5	CARD10		
			FAM86B3P			SBF2			RBM44	POC1A			HCFC2		GPHB5	TTBK2	CD3EAP		GPAM	LINC01506	BCAS2	MON1B		SMA5			LINC01096	FAM208A				RER1	ABCF2			RBBP4	UMAD1	TRIM54	PARVB		
			XKR6			FAM160A2			AQP12A	TMEM158			SYCP3		NOXRED1	CDAN1	RUVBL2		SHTN1	LOC101927069	WARS2	TCF25		ESM1			FAM200B	KLHL18				RCAN3	MUC12			RHCE	ISPD	TTC7A	NCAPH2		
			LOC286059			MICALCL			KLHL30	NDUFAF3			CHST11		JDP2	STRC	KDELR1		FAM160B1	LINC01474	CEPT1	CNOT1		KIF3A			NOP14-AS1	LARS2				MST1P2	ARPC1B			RHD	LOC100129603	BIRC6	EIF3L		
			LOC286083			TRIM5			C2orf82	MYRIP			GALNT9		ISCA2	CSNK1A1P1	HNRNPUL1		SEMA4G	LOC101927358	PIAS3	PHLPP2		ADAMTS6			NAT8L	RYBP				MST1L	NAMPT			RLF	ZNF316	KIDINS220	RTCB		
			MICU3			SYT8			OR6B2	PTPN23			CCDC53		ACOT4	OTUD7A	CLASRP		PLEKHA1	C9orf41-AS1	VAV3	ZNF423		RHOBTB3			MSANTD1	NAT6				PADI2	RASA4			RNU1-4	LOC100131257	MTA3	GTSE1		
			LOC286114			PRKCDBP			ASB18	DNAH1			CEP83		TTC8	SPRED1	KPTN		AVPI1	GNA14-AS1	LAMTOR5	ZCCHC14		ELL2			FAM86EP	ABHD14A				LYPLA2	AASS			SNORA73A	WI2-2373I1.2	WDR35	A4GALT		
			SCARA5			ODF3			FLJ43879	HIGD1A			GPN3		RDH12	PGBD4	PNKP		HPSE2	LOC101927450	IFI44	GSE1		SV2C			POLN	POC1A				PARK7	SLC25A13			RPA2	MIR1183	RDH14	MOV10L1		
			LOC340357			OSBPL5			MIR149	LRIG1			GLTP		ADAM21P1	ADAL	ATF5		FAM204A	LINC01507	POLR3C	ATMIN		FSTL4			KCNIP4-IT1	TMEM158				CTRC	LRRC17			RPE65	MIR1302-6	NLRC4	MIEF1		
			LINC00965			LRRC56			DNAJB3	ERC2			MAPKAPK5-AS1		PPP1R36	EXD1	CARD8		LHPP	LOC101927502	TXNIP	RPGRIP1L		MRPS27			LOC389199	NDUFAF3				ACOT7	POP7			RPL11	ANKRD61	AGBL5	FAM118A		
			USP17L2			MRGPRE			LOC643387	APPL1			ARL6IP4		SLC38A6	FSIP1	CYP2G1P		MMS19	LOC101927575	AP4B1	COTL1		SEPT8			SMIM20	MYRIP				DNAJC8	FAM3C			RPL22	MIR3146	LDAH	TTC38		
			XKR5			ART5			LOC646736	GNL3			TAOK3		LOC145474	RHOV	CIC		IKZF5	LOC101927623	PHTF1	MLYCD		PPIP5K2			USP17L6P	PTPN23				CLSTN1	COG5			RPS6KA1	MIR3683	THADA	PRR34		
			FAM90A25P			TRIM6			PRSS56	FOXP1			POP5		PTGR2	UBR1	ZC3H4		ZDHHC6	LOC101927827	AHCYL1	SF3B3		ACSL6			USP17L9P	CHMP2B				AKR7A3	ZNHIT1			RPS8	LOC100505921	RBKS	MIOX		
			LOC389641			OR52E2			AQP12B	SPCS1			ANAPC5		FAM161B	PATL2	FBXO46		CUEDC2	LOC101928195	WDR3	CES3		JADE2			C4orf48	DNAH1				SPEN	ARPC1A			RSC1A1	LOC100505938	ATL2	PRR5		
			USP17L8			OR52J3			SNORA75	SETD2			ANAPC7		LRRC74A	LPCAT4	ETHE1		FBXL15	LOC101928381	MAN1A2	ADAT1		PPWD1			DTHD1	HIGD1A				KDM1A	SH2B2			SCNN1D	ISPD-AS1	ABCG5	TRMU		
			LOC392196			OR51L1			LOC654841	PRSS50			TRIAP1		ISM2	PLA2G4F	RPL13A		C10orf76	LOC101929583	IFI44L	CHST5		OTP			CFAP99	LRIG1				WDTC1	STAG3			SCP2	LRRC72	ABCG8	SEPT3		
			USP17L7			OR51A7			SCARNA6	RBM15B			NT5DC3		CEP128	LRRC57	SYNGR4		HPS6	LOC102723709	DNAJB4	ARL2BP		SKIV2L2			MIR218-1	ERC2				EMC1	CPSF4			SDHB	LOC100506098	HS1BP3	PANX2		
			LOC401442			OR51S1			SCARNA5	GMPPB			VPS29		TTC7B	NUTM1	PRG1		MFSD13A	LOC102724156	ADAM30	ORC6		NNT			MIR95	APPL1				KIF1B	FASTK			SFPQ	LOC100506178	FNDC4	TOMM22		
			USP17L1			OR51F2			MIR562	ARHGEF3			TPCN1		FAM71D	HMGN2P46	CBLC		MCMBP	LOC102724238	CD160	EDC4		SSBP2			LOC439933	GNL3				PLEKHM2	COPS6			SRSF4	LOC100507642	COLEC11	PDXP		
			MIR124-1			OR52R1			D2HGDH	ABHD5			SSH1		TMEM229B	LOC283683	NUP62		C10orf95	LOC102724580	GLMN	PLA2G15		BHMT2			CPEB2-AS1	FOXP1				OTUD3	DUS4L			ST3GAL3	RBAK-RBAKDN	CENPO	MKL1		
			MIR320A			OR52M1			LOC728323	C3orf18			RHOF		ACTN1-AS1	GOLGA6L2	PPP1R15A		PLEKHS1	LOC102725126	HHLA3	TP53TG3		TNFAIP8			ZNF876P	SPCS1				KAZN	ZNF277			STIL	MIR4648	GALNT14	APOBEC3G		
			DEFB103A			OR52K2			PP14571	SS18L2			VSIG10		TMEM30B	OR4N4	EML2		PDZD7	LINC01410	DDX20	COG4		PART1			DEFB131	SETD2				CAMTA1	ABCB8			SKI	MIR4655	CCDC121	XPNPEP3		
