cytoband	11q23.1	8p21.3	13q14.2	1p36.21	6q21	3p14.3	10q26.12	14q24.3	17p12	16q24.2	15q11.2	9p23	22q11.1	19p13.3	4q34.3	2q23.1	9p21.3	21q21.1	2q37.1	20p12.1	11p15.4	17q12	6p25.3	21q11.2	7q36.1	17p13.3	12q24.33	13q34	22q13.32	1p21.2	
	REXO2			TP73	GTF3C6	RBM6	ZDHHC6	VASH1		CDYL2	SNORD108								KCNE4	SMOX	LRRC56				IQCA1L		CDK2AP1	ATP11AUN	L3MBTL2	MEGF6	
	OR8G2			TNFRSF4	KLHL32	RBM5	MCMBP	ZBTB1		SLC38A8	SNORD109A								NGEF	CRLS1	MRGPRE				ATP6V0E2-AS1		BRAP	MIR17	HDAC10	EPHA2	
	OR8B8			ZBTB17	SLC16A10	NME6	PLEKHS1	SNW1		SLC22A31	SNORD115-1								SNORD82	C20orf27	ART5				MIR153-2		ULK1	MIR18A	LDOC1L	ELAVL4	
	OR8G1			SLC30A2	PM20D2	TRAIP	OBFC1	PCNX1		FLJ30679	WHAMMP3								PNKD	DZANK1	OR52E2				GIMAP6		EEA1	MIR19A	POLDIP3	ENO1	
	TIMM8B			LUZP1	SRSF12	ARIH2	C10orf88	TTLL5		LOC146513	FMN1								SNED1	SPTLC3	OR52J3				ZNF862		RASAL1	MIR19B1	PHF5A	EPB41	
	OR8B2			PRDM2	CFAP206	ARL6IP5	CFAP43	SYNE2		ZFPM1	SNORD64								GIGYF2	AP5S1	OR51L1				MNX1-AS1		PPFIA2	MIR20A	KIAA1644	EPHA8	
	DCPS			ARID1A	BVES-AS1	NPRL2	LRRC27	ANGEL1		ADAD2	PWAR4								TRAF3IP1	TMEM74B	OR51A7				ACTR3C		LGR5	MIR92A1	SHANK3	EPHB2	
	DDX25			SNHG3	C6orf163	CXCR6	ADGRA1	DICER1		ADAMTS18	PWARSN								CNPPD1	SIRPG	OR51S1				MIR595		MAPKAPK5	MIR17HG	TUBGCP6	EPS15	
	CDON			NR0B2	CCDC162P	CSPG5	NKX6-2	ZFYVE26		SNAI3-AS1	LINC01193								STK36	FERMT1	OR51F2				LOC728743		DENR	LINC00452	LMF2	EXTL1	
	SIDT2			MMP23B	AK9	CCR9	AFAP1L2	TTC9		LINC00311	MRPL42P5								GMPPA	KIF16B	OR52R1				MIR671		OASL	CCDC168	SMDT1	EXTL2	
	TRAPPC4			MMP23A	HS3ST5	USP19	KNDC1	FLRT2		ZNF778	IGHV1OR15-1								ANO7	TASP1	OR52M1				HTR5A-AS1		DYNLL1	GAS6-AS1	RRP7BP	EYA3	
	SPA17			KCNAB2	LACE1	SLC38A3	ITPRIP	PLEKHG3		ACSF3	C15orf52								PRLH	KIZ	OR52K2				LINC01003		SRSF9	MIR622	SERHL	F3	
	FXYD6			FCN3	MMS22L	CYB561D2	MTG1	SIPA1L1		LINC00304	GOLGA8EP								THAP4	NSFL1C	OR52B4				WDR86-AS1		GALNT4	MIR623	PHF21B	FAAH	
	SIAE			AKR7A2	SCML4	TMEM115	BBIP1	DCAF4		NUDT7	OR4M2								ANKMY1	TMX4	C11orf40				PAXIP1-AS2		CRADD	LINC00460	KLHDC7B	FABP3	
	C11orf71			ALDH4A1	CEP57L1	RPP14	FANK1	TMEM251		SNAI3	OR4N3P								SCLY	GPCPD1	OR52I2				ZNF783		HRK	FAM155A	TNFRSF13C	FCGR1A	
	ROBO4			EIF4G3	PPIL6	FAM107A	SYCE1	PLEK2		LOC339059	HERC2P10								ASB1	CPXM1	OR51E1				MIR548F4		ADAM1A	COL4A2-AS2	DNAJB7	FCGR1B	
	SLC35F2			TNFRSF25	LINC01268	WDR6	SORCS1	TCL6		FAM92B	HERC2P2								CAB39	OTOR	LOC143666				MIR3907		LIN7A	LINC00552	CHADL	FGR	
	RAB39A			TNFRSF14	FLJ34503	RASSF1	PRAP1	MLH3		CTU2	C15orf53								PRKAG3	APMAP	SCGB1C1				PRKAG2-AS1		SOCS2	FKSG29	MEI1	FHL3	
	BTG4			TNFRSF18	GJB7	NISCH	ZNF511	KCNH5		PABPN1L	C15orf54								UGT1A10	PAK5	NLRP6				LOC100506302		HCAR3	DNAJC3-AS1	FAM109B	FOXE3	
	NXPE4			PER3	SNHG5	TREX1	C10orf90	FOXN3-AS2		LOC400548	MIR211								UGT1A8	RALGAPA2	LOC171391				LINC01006		HIP1R	UBAC2-AS1	NFAM1	FOXD2	
	TTC12			MAP3K6	LINC00222	TUSC2	BTBD16	POMT2		FENDRR	NF1P2								UGT1A7	KAT14	TOLLIP-AS1				LOC100506585		RASSF9	MCF2L-AS1	PNPLA5	FMO5	
	C11orf57			DHRS3	LIN28B	TWF2	FAM24A	COQ6		LOC400553	GOLGA6L22								UGT1A6	SLC24A3	LMNTD2				GIMAP1-GIMAP5		PIWIL1	MIR1267	PRR34-AS1	MTOR	
	ELMOD1			VAMP3	GSTM2P1	DHX30	PSTK	FCF1		LOC400558	HERC2P9								UGT1A5	MAVS	OR51F1				MIR5707		CABP1	MIR4306	CDPF1	FUCA1	
	FOXRED1			THEMIS2	RFPL4B	SACM1L	MMP21	RDH11		C16orf74	WHAMMP2								UGT1A9	EBF4	OR51V1				LOC101927914		NCOR2	MIR3170	GTSE1-AS1	IFI6	
	SCN3B			H6PD	FAM229B	SCAP	PDZD8	SERPINA10		LOC440390	GOLGA8B								UGT1A4	TRIB3	H19				LOC101928700		WSCD2	LINC00403	WBP2NL	GABRD	
	VPS11			ISG15	TSG1	LAMB2P1	GSTO2	GLRX5		SNORD68	EIF2AK4								UGT1A1	OVOL2	CRACR2B				LOC101929998		SART3	LOC100506016	POLR3H	GALE	
	TEX12			PLCH2	TRAF3IP2-AS1	EXOSC7	SFR1	COX16		LINC00917	LINC00929								UGT1A3	FASTKD5	TMEM80				GHET1		KNTC1	GAS6-AS2	SERHL2	GBP1	
	CRTAM			CROCC	SNORD50B	PDZRN3	CTAGE7P	ATP6V1D		VPS9D1-AS1	GOLGA8N								FEV	NAPB	MRGPRG-AS1				LINC01287		MLEC	SOX21-AS1	RNU12	GBP2	
	TMPRSS4			CEP104	MIR587	RAD54L2	CLRN3	GSKIP		LOC100129617	C15orf56								PID1	ANKEF1	ANO9				LOC105375556		GIT2	BIVM-ERCC5	ATP5L2	GBP3	
	IFT46			KLHL21	MCHR2-AS1	FRMD4B	PNLIPRP3	ASB2		LOC100129697	PHGR1								ATG16L1	GFRA4	KRTAP5-AS1				LINC01022		NUAK1	MIR2681	LOC284930	GFI1	
	DSCAML1			SLC35E2	METTL24	STAB1	SFXN4	ZFYVE1		URAHP	CHEK2P2								ANKZF1	GZF1	KCNQ1-AS1						RBM19	MIR4501	LOC284933	GJA4	
	GRAMD1B			ZBTB40	LIN28B-AS1	NBEAL2	CPXM2	CPSF2		SYCE1L	LOC646214								USP40	VPS16	B4GALNT4						RNF10	MIR4502	RPL23AP82	GJA5	
	ARHGAP20			MFN2	TSTD3	FAM208A	TRUB1	KCNK10		LOC100287036	CXADRP2								HJURP	PCED1A	PDDC1						NR1H4	MIR4705	LINC00634	GJA8	
	USP28			CELA3A	CD24	KLHL18	VTI1A	NRDE2		LOC100289580	PDCD6IPP2								HES6	MRPS26	MRGPRG						SH2B3	MIR548AR	C22orf34	GJB3	
	CARD18			WASF2	MIR2113	LARS2	C10orf82	ATG2B		MIR1910	IGHV1OR15-3								ASIC4	DDRGK1	KRTAP5-1						ARPC3	MIR548AS	CHKB-CPT1B	GJB5	
	AASDHPPT			ANGPTL7	LOC100422737	RYBP	CACUL1	UBR7		MIR3182	REREP3								DOCK10	NDUFAF5	KRTAP5-3						PLXNC1	DOCK9-AS2	OGFRP1	GCLM	
	PKNOX2			HNRNPR	MIR4464	NAT6	CFAP58	EXD2		LINC01082	GOLGA8S								C2orf83	ZNF343	KRTAP5-4						MPHOSPH9	LINC00554	LINC00207	GNAI3	
	ABCG4			SRRM1	MIR4643	ABHD14A	C10orf91	VRTN		C16orf95	GOLGA8J								MFF	SYNDIG1	IFITM5						CAMKK2	LINC00557	MIRLET7BHG	GNAT2	
	ROBO3			CNKSR1	MIR548AI	POC1A	PWWP2B	SYNJ2BP		MIR4720	GOLGA8T								ACKR3	NRSN2	FAM99A						ZNF268	LINC00560	LINC00898	GNB1	
	C11orf1			UBE4B	LOC100996634	TMEM158	EMX2OS	SLC39A9		MIR4722	GOLGA8K								RNPEPL1	PANK2	OR52K1						TRAFD1	LINC00565	IL17REL	GNG5	
	RNF26			MAD2L2	MANEA-AS1	NDUFAF3	PLPP4	FLVCR2		MIR4719	GOLGA8M								WDFY1	ADAM33	OR52I1						TMED2	GPC5-AS1	MIRLET7A3	SFN	
	FAM118B			PDPN	LOC101927314	PTPN23	PAOX	GPATCH2L		MIR5093	ANP32AP1								NYAP2	SEL1L2	OR51D1						ERP29	GPC5-AS2	MIRLET7B	GPR3	
	NLRX1			GMEB1	LOC101927365	DNAH1	FAM24B	PPP4R3A		MIR5189	GOLGA6L6								USP37	DEFB126	OR52A5						CKAP4	GPC6-AS1	MIR33A	GPX7	
	MSANTD2			NUDC	LOC101927640	LRIG1	EBF3	BTBD7		PRCAT47	LOC727924								CTDSP1	FAM110A	OR51T1						GCN1	GPC6-AS2	LINC00229	GRIK3	
	ALG9			MASP2	LOC101927686	ERC2	CASC2	TDP1		FAM157C	GOLGA8O								GAL3ST2	SLC4A11	OR51A4						METAP2	CLYBL-AS2	DENND6B	GSTM1	
	CLMP			SRSF10	LOC101927768	APPL1	TCERG1L	SPATA7		LINC01081	GOLGA6L7P								TMBIM1	MCM8	OR51A2						SDS	GRTP1-AS1	PIM3	GSTM2	
	PDZD3			UTS2	LOC101928820	GNL3	HSPA12A	YLPM1		LOC101927793	GOLGA8H								RAB17	ACSS1	IFITM10						GLIPR1	FGF14-AS1	SHISA8	GSTM3	
	C11orf63			RER1	LOC101928911	FOXP1	FUOM	KCNK13		LOC101927817	GOLGA8CP								RNF25	ZCCHC3	MIR210						RAB35	DOCK9-AS1	ODF3B	GSTM4	
	CCDC15			RCAN3	LOC101928936	SPCS1	JAKMIP3	CCDC177		LOC101928203	PWRN1								COPS7B	SCRT2	KRTAP5-5						SNRNP35	LINC00353	PRR5-ARHGAP8	GSTM5	
	PDGFD			MST1P2	LOC101929057	SETD2	STK32C	C14orf132		LINC01229	PWRN2								MRPL44	GGTLC1	KRTAP5-2						KERA	LINC00379	TBC1D22A-AS1	GTF2B	
	TMPRSS5			MST1L	CASC6	PRSS50	RBM20	DDX24		LINC01227	SNORD116-1								TRPM8	MGME1	KRTAP5-6						KRR1	LINC00411	SYCE3	GUCA2A	
	PUS3			PADI2	ARMC2-AS1	RBM15B	PDCD4-AS1	ADCK1		LOC101928417	SNORD116-2								ATG9A	DTD1	MIR483						PRDM4	LINC00433	LOC730668	GUCA2B	
	BCO2			LYPLA2	MIR7641-2	GMPPB	LOC283038	TMEM63C		LOC101928446	SNORD116-3								MLPH	SLC52A3	SNORA52						CIT	LINC00440	LINC01310	HCRTR1	
	TMPRSS13			PARK7	TBX18-AS1	ARHGEF3	WDR11-AS1	RHOJ		LOC101928557	SNORD116-4								FAM134A	HSPA12B	TSSC2						PWP1	LINC00443	NDUFA6-AS1	HDAC1	
	MSANTD4			CTRC	LINC01611	C3orf18	KCNK18	GALNT16		LOC101928614	SNORD116-5								GLB1L	TMC2	SNORA54						FICD	LINC00454	CHKB-AS1	ZBTB48	
	KIRREL3			ACOT7	LOC105377924	SHISA5	VWA2	PLEKHH1		LOC101928659	SNORD116-8								CHPF	TBC1D20	INS-IGF2						NUDT4	LINC00559	LINC00899	HMGN2	
	BUD13			DNAJC8		ZDHHC3	NANOS1	UNC79		LOC101928682	SNORD116-10								IQCA1	SIRPD	MUC5B						FZD10	CLDN10-AS1	MIR1249	HMGCL	
	TMEM25			CLSTN1		ZMYND10	HMX3	PPP4R4		LOC101928708	SNORD116-11								NHEJ1	C20orf141	MIR675						PHLDA1	COL4A2-AS1	MIR1281	HMGCS2	
	RPUSD4			AKR7A3		TEX264	NHLRC2	ZNF410		LOC101928737	SNORD116-12								FAM124B	PROKR2	FAM99B						MLXIP	ATP11A-AS1	MIR3201	HPCA	
	TBRG1			SPEN		TMA7	CCDC172	NGB		LOC101928880	SNORD116-13								TM4SF20	SLX4IP	LINC01001						RPH3A	ARHGEF7-AS1	MIR3619	HSD3B1	
	UBASH3B			KDM1A		ZNF589	DMBT1P1	RBM25		MIR6504	SNORD116-14								C2orf54	CSTL1	MRPL23-AS1						P2RX2	ARHGEF7-AS2	MIR3667	HSD3B2	
	SNORD14C			WDTC1		HEMK1	ENO4	VIPAS39		MIR6775	SNORD116-15								TUBA4B	CST9L	MIR4298						RAB21	FAM155A-IT1	LOC100506679	IGSF3	
	SNORD14D			EMC1		IP6K2	ARMS2	SMOC1		MIR7854	SNORD116-16								ARMC9	CST9	LOC100506082						FBXO21	PCCA-AS1	NUP50-AS1	HSPG2	
	SNORD14E			KIF1B		SFMBT1	TEX36	MOAP1		MIR8058	SNORD116-17								EFHD1	MLLT10P1	MIR210HG						SETD1B	NALCN-AS1	LINC01589	HTR1D	
	DIXDC1			PLEKHM2		NCKIPSD	LINC00959	IRF2BPL		MIR6774	SNORD116-18								SPHKAP	C20orf96	MIR4686						UHRF1BP1L	MYO16-AS1	MIR4763	HTR6	
	ZC3H12C			OTUD3		PHF7	GUCY2GP	MPP5		MAFTRR	SNORD116-20								WNT10A	MACROD2	MIR4687						ANKLE2	LINC00359	MIR4762	ID3	
	ESAM			KAZN		TLR9	NKX1-2	BCL11B		LOC102724084	SNORD116-21								SLC19A3	SRXN1	PANO1						CUX2	LOC101060553	MIR378I	CYR61	
	ALKBH8			CAMTA1		LZTFL1	C10orf120	OTUB2		LOC102724163	SNORD116-22								ILKAP	LINC00261	LOC101927503						KIAA1033	LINC00676	MIR4766	IL12RB2	
	FDXACB1			DNAJC16		P4HTM	LOC399815	LINC00341		LOC102724344	SNORD116-23								ITM2C	BANF2	LINC01150						MED13L	LINC01049	MIR4535	TNFRSF9	
	C11orf52			UBR4		SLC6A20	METTL10	ZC2HC1C		LOC102724467	SNORD116-24								RHBDD1	NANP	CD81-AS1						ZDHHC17	LOC101927248	EFCAB6-AS1	INPP5B	
	TIRAP			ATP13A2		IL17RD	FLJ37035	C14orf169		FOXC2-AS1	SNORD116-25								ING5	MACROD2-IT1	LOC101927708						SIRT4	LOC101927284	LOC101927257	IPP	
	CARD16			TARDBP		ELP6	FOXI2	CLMN		LOC105371414	SNORD115-2								PLCD4	DEFB127	MIR6743						ABCB9	LOC101927437	EP300-AS1	JAK1	
	C1QTNF5			CELA3B		QRICH1	LINC01164	CATSPERB			SNORD116-26								MGC16025	SCP2D1	MIR7847						ISCU	CLYBL-AS1	LOC101927447	JUN	
	PANX3			ICMT		PXK	LINC01168	ZC3H14			SNORD116-27								DNER	ISM1	MIR6744						RIMBP2	LINC00368	LOC101927526	KCNA2	
	APOA5			PADI4		FEZF2	SPRNP1	RIN3			SNORD115-3								B3GNT7	CST11	HOTS						ATP6V0A2	LINC00354	LL22NC03-75H12.2	KCNA3	
	COLCA2			TMEM50A		EBLN2	LINC01561	C14orf159			SNORD115-4								SP140L	DEFB129	BGLT3						CORO1C	LINC01070	MIR6821	KCNA10	
	PIH1D2			STX12		DALRD3	FAM45A	BBOF1			SNORD115-5								LOC93463	SIRPA	LINC01219						MGAT4C	LOC101928730	MIR6889	KCNC4	
	NXPE1			CLIC4		SHQ1	FRG2B	SGPP1			SNORD115-6								STK11IP	STK35	SNORD131						FBXW8	LINC01043	LINC01315	KCND3	
	NXPE2			SYF2		PBRM1	SPRN	SLIRP			SNORD115-7								MOGAT1	PRNT							HSPB8	LOC101928841	LOC105373044	STMN1	
	JAML			CHD5		CHDH	MIR202	DNAL1			SNORD115-8								AGAP1	LINC00654							RNU4-2	LINC00380	LOC105373051	LCK	
	KBTBD3			SZRD1		IL17RB	NPS	RPS6KL1			SNORD115-10								TWIST2	C20orf196							RNU4-1	LINC00397	LOC105373100	LEPR	
	CWF19L2			LDLRAP1		CACNA2D3	SCART1	SYT16			SNORD115-11								DIS3L2	NCOR1P1							HCAR1	MIR8073	SNORD140	TACSTD2	
	KDELC2			NOC2L		DCP1A	SNORA19	IFI27L2			SNORD115-12								NEU4	LRRN4							UTP20	MIR8075		MAGOH	
	LAYN			FBXO2		GLT8D1	FAM196A	SETD3			SNORD115-13								AP1S3	CST13P							MRPL42	LINC01232		MATN1	
	TTC36			FBXO6		LMOD3	RPL13AP6	HHIPL1			SNORD115-14								SGPP2	LINC00656							IFT81	LINC00456		MCL1	
	PATE1			PLA2G2D		SEMA3G	MIR609	GON7			SNORD115-15								SPATA3	DEFB125							CCDC59	LINC01044		MFAP2	
	C11orf65			SNORA73B		KIF15	MIR936	STON2			SNORD115-16								TMEM198	DEFB128							FAM216A	LINC00363		MOV10	
	MPZL3			RNU11		ADAMTS9	ADGRA1-AS1	CIPC			SNORD115-17								ZFAND2B	SIRPB2							HCFC2	LINC00399		MPL	
	HYLS1			RNU6-1		PCBP4	ATE1-AS1	PAPLN			SNORD115-18								FBXO36	LOC284788							TRHDE	LINC01309		MSH4	
	TMEM218			RNU5E-1		ABHD6	TEX36-AS1	FAM181A			SNORD115-20								MTERF4	LOC284798							SYCP3	LINC00431		MTF1	
	SLC37A2			RNU1-3		LRTM1	DUX4	EFCAB11			SNORD115-21								UBE2F	FAM182A							CHST11	LINC00396		MTHFR	
	OR8B12			RNU1-2		C3orf14	MIR2110	CHURC1			SNORD115-22								OTOS	MIR663AHG							GALNT9	LINC01039		MUTYH	
	OR8G5			RNU1-1		KIAA1143	MIR548E	ELMSAN1			SNORD115-23								COPS9	FRG1BP							CCDC53	LINC01054		MYCL	
	OR10G8			HSPB7		SELK	MIR378C	LIN52			SNORD115-25								OR6B3	LOC339593							CEP83	F10-AS1		NASP	
	OR10G9			ARHGEF16		PROK2	MIR4297	NEK9			SNORD115-26								LOC150935	RSPO4							GPN3	LOC105370306		NBL1	
	OR10S1			AHDC1		RNF123	MIR4295	IFT43			SNORD115-29								LINC01107	TGM6							GLTP	LINC01040		NDUFS5	
	OR6T1			SMPDL3B		KIF9	MIR4296	WDR89			SNORD115-30								LOC151174	LOC388780							MAPKAPK5-AS1	LOC105370333		NFIA	
	OR4D5			LINC00339		CDCP1	MIR3941	AK7			SNORD115-31								ERFE	LINC00493							ARL6IP4	LOC105370369		NFYC	
	TBCEL			SSU72		CCDC71	MIR3663	IFI27L1			SNORD115-32								CCDC140	DEFB132							TAOK3	LINC01047		NGF	
	TMEM136			UBIAD1		NT5DC2	MIR3944	GPHB5			SNORD115-33								SLC23A3	C20orf202							POP5	LINC00449		NHLH2	
	HEPACAM			PADI1		SLC26A6	SH3PXD2A-AS1	NOXRED1			SNORD115-34								LINC00608	FLJ33581							ANAPC5			NOTCH2	
	OAF			PLA2G2E		CAMKV	CFAP58-AS1	JDP2			SNORD115-35								GPBAR1	MIR103A2							ANAPC7			NPPA	
	ANKK1			WRAP73		LRRC2	SORCS3-AS1	ISCA2			SNORD115-36								SLC16A14	LINC00851							TRIAP1			NPPB	
	RNF214			SLC45A1		FYCO1	ADD3-AS1	ACOT4			SNORD115-37								LOC151475	LOC613266							NT5DC3			NRAS	
	LOC283140			HP1BP3		CCDC51	LINC00867	TTC8			SNORD115-38								LINC00471	RAD21L1							VPS29			NRDC	
	LINC00900			CELA2B		THOC7	FAM24B-CUZD1	TC2N			SNORD115-39								LOC151484	LOC643406							TPCN1			YBX1	
	BCL9L			ZNF593		WDR82	MIR4680	SLC24A4			SNORD115-41								MSL3P1	NKX2-4							SSH1			ROR1	
	FOXR1			SDF4		RTP3	MIR4483	RDH12			SNORD115-44								DAW1	FRG2EP							RHOF			OPRD1	
	CCDC153			MRTO4		LRRC2-AS1	MIR4682	ADAM21P1			SNORD116-28								C2orf57	SNORA51							VSIG10			ORC1	
	OR8D1			YTHDF2		ATRIP	MIR4482	LINC00618			SNORD116-29								TIGD1	SNORD17							TESC			OVGP1	
	OR8D2			PADI3		NICN1	MIR4484	GSC			SNORD115-48								LOC200772	SNORD86							PARPBP			PAFAH2	
	OR8B4			ERRFI1		MON1A	MIR4681	SERPINA12			SNORD115-24								CFAP65	SNORD110							SLC6A15			PRDX1	
	KIRREL3-AS3			WNT4		KBTBD8	LINC00601	PRIMA1			SNORD115-27								C2orf72	MIR663A							RIC8B			PAX7	
	CCDC84			FBXO42		ABHD14B	FANK1-AS1	PPP1R36			SNORD115-28								RTP5	LOC727993							APPL2			PDE4B	
	TMEM225			RNF186		UCN2	LINC01163	LOC145474			SNORD115-45								LOC285095	LINC01433							SBNO1			PDZK1	
	OR8D4			MXRA8		ZNF502	LOC101927472	PTGR2			SNORD115-47								RUFY4	LINC00687							TMEM19			PEX10	
	C11orf53			HES2		RFT1	TCERG1L-AS1	FAM161B			LOC100128714								DUSP28	FAM182B							DRAM1			PEX14	
	LOC341056			GPN2		ACTR8	LOC101927523	LRRC74A			LOC100130111								MROH2A	SNORD119							SVOP			PGD	
	PLET1			FBLIM1		SLC25A26	LOC101927549	ISM2			SRP14-AS1								ESPNL	C20orf78							STAB2			PGM1	
	LOC387810			MED18		ZNF501	LINC01166	CEP128			ANKRD63								ECEL1P2	LOC100130264							VEZT			PIK3CD	
	BSX			PQLC2		GPR62	MIR202HG	TTC7B			LOC100131315								SPATA3-AS1	SNAP25-AS1							GOLGA2P5			PIN1P1	
	OR6X1			CASZ1		FAM3D	LOC101927692	FAM71D			HERC2P7								CATIP	UBOX5-AS1							ZCCHC8			PLA2G2A	
	OR6M1			TRNAU1AP		TMEM42	MIR3663HG	TMEM229B			GOLGA8F								RBM44	LOC100134868							SCYL2			PLA2G5	
	OR10G4			CPSF3L		IQCF1	FAM53B-AS1	ACTN1-AS1			GOLGA8DP								AQP12A	LINC01432							POLR3B			PLOD1	
	OR10G7			C1orf159		GLYCTK	EDRF1-AS1	SYNE3			POTEB2								KLHL30	LOC100270804							CHFR			EXOSC10	
	OR8B3			AURKAIP1		PPM1M	MIR6715B	SAMD15			WHAMMP1								RESP18	TMEM239							FGD6			POU3F1	
	OR8A1			MRPL20		C3orf49	MIR6715A	EML5			LOC100288637								C2orf82	FRG1CP							WSB2			PPP1R8	
	C11orf87			AIM1L		SNTN	LOC102724589	LINC00521			LOC100289656								OR6B2	LOC100289473							NDUFA12			PPT1	
	COLCA1			TMEM51		SYNPR	LOC103344931	SERPINA11			MIR1233-1								ASB18	MIR1292							DIABLO			PRKAA2	
	C11orf88			XKR8		LSMEM2	LINC01435	PROX2			MIR1268A								FLJ43879	MIR103B2							ANKS1B			PRKAB2	
	MIR100HG			ARHGEF10L		ASB14	LINC01167	LOC283575			MIR3118-3								MIR149	PCNA-AS1							CHPT1			PRKACB	
	PATE2			VPS13D		FAM19A4	LOC105378470	ZDHHC22			MIR1233-2								MIR153-1	PET117							TMCC3			PKN2	
	PATE4			ATAD3A		CCDC12	AS-PTPRE	TMED8			MIR3118-4								MIR26B	MACROD2-AS1							PITPNM2			PRKCZ	
	ST3GAL4-AS1			TMEM57		PPP4R2	SNORA87	C14orf178			MIR3118-2								DNAJB3	MIR3192							EP400			PSMA5	
	LOC403312			PANK4		PRICKLE2		LOC283585			MIR3942								LOC440934	LOC100505515							DHX37			PSMB2	
	MIRLET7A2			CAMK2N1		C3orf67		LINC01146			INAFM2								MIR375	ISM1-AS1							FBRSL1			PTAFR	
	MIR100			ASAP3		KCTD6		FAM181A-AS1			RAD51-AS1								LOC643387	LINC01431							DDX55			PTGER3	
	MIR125B1			PNRC2		KLHDC8B		SNHG10			DPH6-AS1								LOC646736	NRSN2-AS1							NTN4			PTGFR	
	MIR34B			PIGV		LINC00870		C14orf177			MIR4509-1								PRSS56	SDCBP2-AS1							TRPV4			PTGFRN	
	MIR34C			NBPF1		DNAH12		ADAM20P1			MIR4509-2								AQP12B	LINC00658							LHX5			PTPRF	
	DDI1			NECAP2		PDE12		CCDC85C			MIR4508								SNORA75	FKBP1A-SDCBP2							SUDS3			ABCD3	
	BLID			DNAJC11		DENND6A		ITPK1-AS1			MIR4510								LOC654841	MIR4477A							ACTR6			RAB3B	
	CASP1P2			RCC2		ALS2CL		SNORD56B			MIR4715								SCARNA6	PLCB1-IT1							TBC1D15			RABGGTB	
	CARD17			AJAP1		TMIE		SERPINA9			TMCO5B								SCARNA5	LOC101926889							C12orf43			RAP1A	
	HEPN1			MTFR1L		EOGT		VSX2			MIR5701-2								MIR562	LOC101926935							VPS33A			RAP1GAP	
	LOC643733			CTNNBIP1		FBXW12		COX8C			MIR5701-1								D2HGDH	LOC101926955							RSRC2			RBBP4	
	LOC643923			RSRP1		LINC00877		RAB15			SNORD116-30								LOC728323	SIRPG-AS1							AACS			RHCE	
	CLDN25			AGTRAP		CCDC66		SERPINA13P			SNORD115-46								LOC100129175	LOC101929125							NUP37			RHD	
	LOC649133			PITHD1		KIF9-AS1		LINC01550			LOC100996255								PP14571	LOC101929207							DDX54			RLF	
	RPL23AP64			MAN1C1		LINC00698		SERPINA2			POTEB								LOC100286922	MCM8-AS1							NOC4L			RNU1-4	
	LOC100131626			NIPAL3		EIF4E3		HEATR4			GOLGA8R								MIR1471	CASC20							GNPTAB			SNORA73A	
	LOC100132078			SEPN1		CCDC36		PLEKHD1			LOC101927079								MIR1244-1	LINC01428							B3GNT4			SNORD21	
	LOC100132686			TP73-AS1		PRSS42		FOXN3-AS1			LOC101928042								BOK-AS1	LOC101929288							TCTN1			RPA2	
	PATE3			PLEKHG5		SPATA12		LINC00642			LOC101928134								MIR1244-3	LOC101929312							ACSS3			RPE65	
	NCAM1-AS1			LRRC47		C3orf62		DICER1-AS1			LOC101928174								MIR1244-2	LAMP5-AS1							OGFOD2			RPL5	
	BACE1-AS			DISP3		TMEM110		LINC00238			LOC101928227								MIR3133	LOC101929371							VPS37B			RPL11	
	MIR4301			KIF17		PRSS45		CCDC88C			PWRN3								MIR3131	LOC101929395							BBS10			RPL22	
	MIR3167			HES4		AMIGO3		TEX21P			GABRG3-AS1								MIR4268	LOC101929413							C12orf49			RPS6KA1	
	USP2-AS1			GRHL3		CDHR4		ACOT1			MIR8063								MIR3132	LOC101929486							TCTN2			RPS8	
	MIR3656			IL22RA1		FAM212A		ACOT6			POTEB3								MIR4269	LOC101929526							NAA25			RSC1A1	
	CASP12			MIIP		IQCF2		FUT8-AS1			LOC102725022								AGAP1-IT1	KIZ-AS1							SLC8B1			SORT1	
	LOC100507283			CELA2A		IQCF5		LINC00643			PWRN4								UBE2F-SCLY	LOC101929608							CEP290			SARS	
	TMPRSS4-AS1			GPATCH3		MUSTN1		LOC646548			LOC105370757								MIR4439	LOC101929625							RNF34			SCNN1D	
	HSPB2-C11orf52			PRDM16		IQCF3		SYNDIG1L			LOC105370941								MIR4777	LINC01427							CCDC92			SCP2	
	FXYD6-FXYD2			PLA2G2F		LINC00960		SCARNA13			BUB1B-PAK6								MIR2467	LINC01384							MTERF2			SDHB	
	MIR4493			CEP85		MIRLET7G		SNORA79											MIR4440	MIR6869							PUS1			SFPQ	
	MIR4491			NMNAT1		MIR135A1		MIR625											MIR4786	MIR6870							ACAD10			SRSF4	
	MIR4492			VWA1		MIR191		LOC730202											MIR4441	MIR8062							GLT8D2			ST3GAL3	
	MIR4693			PINK1		FAM19A1		LINC01220											MIR5001	LOC102606466							THAP2			STIL	
	LOC100652768			PRAMEF1		TMEM89		SNORA11B											MIR5702	FRG1DP							KCTD10			SKI	
	KIRREL3-AS2			PRAMEF2		IQCF6		LOC100128233											MIR5703	ZNF337-AS1							USP44			SLC1A7	
	LOC101928535			NADK		SMIM4		LOC100129345											LOC100996693	LOC105372493							SLC41A2			SLC2A1	
