cytoband	8p23.2	10q23.31	13q14.2	19p13.3	1p36.21	5q11.2	9p21.3	15q15.1	2q37.3	4q35.2	11q25	11p15.5	7q36.1	3p14.2	18q23	16p13.3	6p25.3	19q13.43	12q13.13	9q34.3	10q26.3	5q21.3	6q25.3	6q26	4p16.3	20p13	12q23.1	14q24.1	16q12.2	16q23.1	4q31.3	15q11.2	2p25.1	14q32.2	3p25.2	22q11.21	22q13.31	13q12.11	9q21.11	20p12.1	4q22.1	
					PLA2G2F														GALNT6	DPP7				LOC105378123					SLC6A10P			LOC283710	FAM228A	BTBD6		FLJ41941		ZDHHC20			TBCK	
					NMNAT1														COPZ1	OBP2B				LOC105378127					C16orf87			FAM98B	LOC653602	EXOC3L4		MIR1286		PAN3			HELQ	
					PINK1														FAIM2	OBP2A				LOC105378137					C16orf97			HERC2P3	LINC01249	WDR20		MIR1306		SUGT1P3			CYP2U1	
					PRAMEF1														DDN	ST6GALNAC6				LOC105378146					LOC388282			GOLGA6L1	DCDC2C	AHNAK2		MIR3198-1		SLC46A3			DDIT4L	
					PRAMEF2														ESYT1	MRPS2									LOC390705			GOLGA8G	RAD51AP2	TRMT61A		MIR3618		ANKRD20A9P			LIN54	
					EFHD2														TNS2	COQ4									CES1P2			GOLGA8IP	DNAJC27-AS1	TDRD9		SEPT5-GP1BB		C1QTNF9			C4orf32	
					RSG1														KCNH3	CERCAM									FLJ26245			SNORD108	MYT1L-AS1	ANKRD9		MIR4761		FREM2			C4orf36	
					MUL1														CBX5	EGFL7									MIR138-2			SNORD109A	TDRD15	AK7		LINC01311		LINC00442			SLC9B2	
					AGMAT														ANP32D	PRRX2									UBE2MP1			SNORD115-1	MIR1301	IFI27L1		POTEH-AS1		TPTE2P6			SLC9B1	
					GPR157														SMUG1	SPOUT1									CASC16			WHAMMP3	SNORA80B	C14orf79		LOC100996335		RASL11A			PPM1K	
					SPSB1														PRPF40B	C9orf78									LOC643802			FMN1	MIR548S	PLD4		LOC100996342		C1QTNF9B			TIGD2	
					TAS1R2														METTL7A	FBXW5									CRNDE			SNORD64	MIR4261	ADSSL1		LOC100996415		SHISA2			SGMS2	
					ACTL8														LETMD1	TBC1D13									MT1IP			PWAR4	MIR3125	TC2N		LOC100996432		NHLRC3			NPNT	
					SLC25A33														ZNF385A	TOR4A									LINC00273			PWARSN	MIR4262	SLC24A4		BMS1P17		ANKRD20A19P			LOC256880	
					DDI2														OR7E47P	EXD3									TP53TG3C			LINC01193	LINC00276	SLC25A29		LOC101927859		SERTM1			NAP1L5	
					LZIC														RND1	RABL6									SNORA46			MRPL42P5	MIR3681	DEGS2		LOC101928891		LINC00547			RPL34-AS1	
					CROCCP2														ORMDL2	LRRC8A									SNORA50A			IGHV1OR15-1	LINC01304	LINC00239		LOC101929350		LINC00548			FAM13A-AS1	
					IGSF21														RACGAP1	INPP5E									TP53TG3D			C15orf52	RNASEH1-AS1	LINC00637		LOC101929372		ATP5EP2			GPRIN3	
					KIAA2013														SENP1	NPDC1									TP53TG3B			GOLGA8EP	LOC100506274	LINC00618		MIR6816		LINC00544			STPG2	
					C1orf158														DHH	BARHL1									TP53TG3HP			OR4M2	ID2-AS1	GSC		LOC102723769		LINC00545			LRIT3	
					FBXO44														PLEKHA8P1	SH3GLB2									HERC2P4			OR4N3P	MIR3681HG	SERPINA12		LOC102723780		C1QTNF9B-AS1			SLC10A6	
					CROCCP3														FKBP11	REXO4									MIR3181			HERC2P10	LOC100506474	PRIMA1		LOC102725072		SNORA27			HSD17B13	
					FHAD1														KRT76	DOLPP1									MIR3935			HERC2P2	NT5C1B-RDH14	TTC7B		LINC01297		BASP1P1			PCNAP1	
					RBP7														CSAD	KCNT1									LINC00919			C15orf53	MIR4757	SYNE3		BMS1P22		TPTE2P1			CCSER1	
					LRRC38														BIN2	GPR107									FTO-IT1			C15orf54	MIR4429	LINC00638				URAD			WDFY3-AS2	
					AADACL3														LIMA1	PRDM12									LOC100507534			MIR211	LINC00570	NUDT14				ZAR1L			MIR302A	
					IFFO2														HDAC7	CARD9									LOC100507577			NF1P2	HS1BP3-IT1	LINC00521				LINC00598			LINC00575	
					KLHDC7A														GPR84	DDX31									MIR548AI			GOLGA6L22	LOC101060385	SERPINA11				MIPEPP3			TMEM150C	
					VWA5B1														SLC38A2	MRPL41									LOC100996338			HERC2P9	LOC101060391	FAM181A-AS1				MIR621			MIR302B	
					UBXN10														PRR13	C9orf16									LOC100996345			WHAMMP2	LOC101926966	SNHG10				CCDC169			MIR302C	
					ARHGEF19														KANSL2	EHMT1									ITFG1-AS1			GOLGA8B	LINC01250	C14orf177				ANKRD26P3			MIR302D	
					C1orf127														SLC38A4	PTGES2									LOC101927132			EIF2AK4	LOC101928222	SLC25A47				LINC00543			MIR367	
					C1orf64														SLC48A1	URM1									LOC101927272			LINC00929	LINC01247	LINC00523				LINC00426			CISD2	
					SLC2A7														LMBR1L	AIF1L									LOC101927334			C15orf62	LOC101929452	CEP170B				LINC00421			LEF1-AS1	
					FAM43B														SMAGP	UCK1									LINC01571			GOLGA8N	LOC101929551	C14orf80				PAN3-AS1			SNCA-AS1	
					TMEM201														DIP2B	NTNG2									LOC101927480			C15orf56	LOC101929567	CCDC85C				MIR2276			MIR575	
					TMEM51-AS1														CALCOCO1	PRRC2B									MIR6771			PHGR1	LOC101929715	ITPK1-AS1				MIR320D1			MIR576	
					AKR7L														NCKAP5L	PLPP7									MIR6772			CHEK2P2	LOC101929733	SERPINA9				MIR3168			MIR297	
					TMCO4														NEUROD4	ZDHHC12									MIR6863			LOC646214	LOC101929882	LINC00524				MIR4305			MIR1243	
					C1orf167														C12orf10	MIGA2									LOC102467079			CXADRP2	MIR7158	LINC00226				MINOS1P1			MIR1255A	
					SLC25A34														ATG101	FIBCD1									LOC102723373			PDCD6IPP2	MIR7515	LINC00221				LINC00540			THAP9-AS1	
					ESPNP														IKZF4	CCDC183									LOC102723753			IGHV1OR15-3	LOC102723362	COX8C				SACS-AS1			MIR3684	
					LINC01141														SPATS2	SNHG7									TP53TG3E			REREP3	LINC01248	ASPG				LINC00327			LOC100506746	
					AADACL4														TMEM106C	TMEM141									TP53TG3F			GOLGA8S	MIR7515HG	MIR381HG				OR7E37P			BMPR1B-AS1	
					PRAMEF5														NABP2	ARRDC1-AS1									ENPP7P13			GOLGA8J	LINC01246	SERPINA13P				TEX26-AS1			LOC100507053	
					HNRNPCL1														RPAP3	WDR34									LOC105371267			GOLGA8T	MYCNUT	LINC01550				FRY-AS1			GIMD1	
					PRAMEF10														DNAJC22	SAPCD2												GOLGA8K	NRIR	RTL1				LINC00445			SEC24B-AS1	
					FAM131C														SLC38A1	C9orf69												GOLGA8M	GACAT3	TMEM179				SPG20-AS1			MIR4451	
					PADI6														CSRNP2	UAP1L1												MIR626	LOC105373352	SERPINA2				VWA8-AS1			MIR4452	
					DRAXIN														RACGAP1P	ARRDC1												ANP32AP1	LOC105373394	LINC00642				CCDC169-SOHLH2			MIR5705	
					SPATA21														FAM186B	DPH7												GOLGA6L6	LINC01381	DICER1-AS1				MIR4499			LINC01216	
					CENPS														TMEM117	TMEM203												LOC727924		C14orf180				TPTE2P5			ARHGEF38-IT1	
					TMEM82														PYM1	SLC25A25												GOLGA8O		MIR127				LINC00408			STPG2-AS1	
					PRAMEF12														SARNP	ZMYND19												GOLGA6L7P		MIR134				LINC00539			LOC101928978	
					PRAMEF8														TUBA1C	NACC2												GOLGA8H		MIR136				MIR5006			LOC101929064	
					PRAMEF18														ZC3H10	C9orf116												OIP5-AS1		MIR154				LINC00566			LOC101929134	
					PRAMEF17														SPRYD3	LCN8												GOLGA8CP		MIR203A				PDX1-AS1			LOC101929194	
					PLA2G2C														MFSD5	FAM69B												PWRN1		MIR299				LINC00572			LOC101929210	
					PRAMEF4														COX14	PIP5KL1												PWRN2		CCDC88C				LINC00297			LOC101929353	
					PRAMEF13														DNAJC14	DBH-AS1												SNORD116-1		MIR323A				USP12-AS1			LOC101929448	
					SH2D5														CCDC65	ASB6												SNORD116-2		MIR337				USP12-AS2			LOC101929468	
					MIR34A														LACRT	SLC34A3												SNORD116-3		MIR342				MTUS2-AS1			LOC101929529	
					PRAMEF11														FMNL3	CAMSAP1												SNORD116-4		MIR345				LINC00332			LOC101929577	
					PRAMEF6														CERS5	C9orf62												SNORD116-5		MIR376C				LINC00350			LOC101929595	
					HNRNPCL2														PCED1B	C9orf163												SNORD116-8		MIR369				LINC00365			LOC101929621	
					UQCRHL														COQ10A	MAMDC4												SNORD116-10		MIR370				LINC00366			MIR8066	
					MINOS1														KRT71	LCN6												SNORD116-11		MIR376A1				LINC00398			MIR8082	
					PRAMEF7														LARP4	AK8												SNORD116-12		MIR377				LINC00417			LOC102723704	
					PRAMEF25														DCD	STKLD1												SNORD116-13		MIR379				LINC00423			TET2-AS1	
					RPS14P3														MUCL1	QSOX2												SNORD116-14		MIR380				LINC00457			LOC105369192	
					PIK3CD-AS1														FAM186A	NAIF1												SNORD116-15		MIR381				LINC00424			LOC105377348	
					PRAMEF26														OR2AP1	PHYHD1												SNORD116-16		MIR382				LINC00571			LOC105377621	
					PRAMEF33P														OR10P1	HMCN2												SNORD116-17		MIR433				SPATA13-AS1			SNORD143	
					PRAMEF19														RHEBL1	LINC00094												SNORD116-18		MIR431				STARD13-AS			SNORD144	
					PRAMEF20														C12orf54	LCN12												SNORD116-20		MIR329-1				LINC00621			SNORA101A	
					PRAMEF34P														ZNF641	C9orf142												SNORD116-21		MIR329-2				LOC101928697				
					HNRNPCL3														OR10AD1	TPRN												SNORD116-22		MIR323B				LINC00463				
					PRAMEF22														SP7	FAM78A												SNORD116-23		MIR409				LINC00437				
					PRAMEF15														GTSF1	QRFP												SNORD116-24		MIR412				LOC101929140				
					SNORA59A														OR10A7	GLT6D1												SNORD116-25		MIR410				LINC00367				
					C1orf195														KRT74	SWI5												SNORD115-2		MIR376B				LINC00384				
					PRAMEF14														ASB8	C9orf50												SNORD116-26		MIR485				LINC01053				
					FAM231A														MYL6B	PNPLA7												SNORD116-27		MIR493				LINC00412				
					FAM231C														KRT72	CYSRT1												SNORD115-3		MIR432				LOC102723345				
					FLJ37453														BCDIN3D	ENTPD8												SNORD115-4		MIR494				LINC01046				
					LOC100132147														KRT80	PTGES2-AS1												SNORD115-5		MIR495				LINC01050				
					FAM231B														GRASP	IER5L												SNORD115-6		MIR496				LINC01048				
					MIR1256														KRT78	CFAP77												SNORD115-7		MIR487A				LINC01058				
					MIR1290														METTL7B	LCN15												SNORD115-8		RD3L				LINC01072				
					NPPA-AS1														ANO6	C9orf172												SNORD115-10		TEX22				LOC105370177				
					MIR1273D														ARID2	LRRC26												SNORD115-11		MIR539								
					MIR3675														OR6C74	TMEM8C												SNORD115-12		MIR544A								
					ENO1-AS1														OR6C3	LCN9												SNORD115-13		MIR376A2								
					LOC100506022														LINC00935	FAM102A												SNORD115-14		MIR487B								
					LOC100506730														LOC283332	CCDC187												SNORD115-15		SCARNA13								
					APITD1-CORT														LOC283335	LOC401554												SNORD115-16		SNORA28								
					MINOS1-NBL1														ZNF740	LOC401557												SNORD115-17		SNORD112								
					MIR4695														OR6C6	LINC01451												SNORD115-18		MIR411								
					MIR3972														ANKRD52	LCNL1												SNORD115-20		MIR654								
					MIR5096														SLC39A5	C9orf139												SNORD115-21		MIR655								
					MIR4632														C12orf80	FAM166A												SNORD115-22		MIR656								
					MIR5697														LINC00592	SOHLH1												SNORD115-23		LOC730202								
					PINK1-AS														TMPRSS12	MIR126												SNORD115-25		SNORD113-1								
					MTOR-AS1														KRT6C	MIR199B												SNORD115-26		SNORD113-2								
					HNRNPCL4														KRT73	MIR219A2												SNORD115-29		SNORD113-3								
					LOC101927876														C1QL4	COL5A1-AS1												SNORD115-30		SNORD113-4								
					LOC101927895														KRT79	C9orf106												SNORD115-31		SNORD113-5								
					UBXN10-AS1														ANKRD33	LCN10												SNORD115-32		SNORD113-6								
					PIK3CD-AS2														OR6C2	STPG3												SNORD115-33		SNORD113-7								
					LOC101929181														OR6C4	NRARP												SNORD115-34		SNORD113-8								
					PRAMEF27														H1FNT	FAM163B												SNORD115-35		SNORD113-9								
					RNU6-7														OR8S1	EHMT1-IT1												SNORD115-36		SNORD114-1								
					RNU6-8														AMIGO2	TUBBP5												SNORD115-37		SNORD114-2								
					MIR6084														KRT77	RNF224												SNORD115-38		SNORD114-3								
					MIR6728														CCDC184	SNORA17A												SNORD115-39		SNORD114-4								
					MIR7846														OR6C1	SNORA17B												SNORD115-41		SNORD114-5								
					MIR6730														OR6C75	MIR602												SNORD115-44		SNORD114-6								
					MIR6729														OR6C76	RNF208												SNORD116-28		SNORD114-7								
					LOC102724539														OR6C70	DNLZ												SNORD116-29		SNORD114-8								
					LOC102724552														LINC00938	LOC100128593												SNORD115-48		SNORD114-9								
					LOC102724571														LOC400043	STPG3-AS1												SNORD115-24		SNORD114-10								
					LOC102724659														FIGNL2	LOC100130548												SNORD115-27		SNORD114-11								
					RNU6-2														OR6C65	LINC01502												SNORD115-28		SNORD114-12								
					LOC105376736														OR6C68	CCDC183-AS1												SNORD115-45		SNORD114-13								
					LOC105376805														MIR196A2	FAM157B												SNORD115-47		SNORD114-14								
					LOC105378614														DBX2	LOC100133077												LOC100128714		SNORD114-15								
					MIR34AHG														FLJ12825	RNU6ATAC												LOC100130111		SNORD114-16								
					SNORD128														TMEM198B	LOC100272217												SRP14-AS1		SNORD114-17								
																			OR9K2	SLC25A25-AS1												ANKRD63		SNORD114-18								
																			MIR148B	MAN1B1-AS1												LOC100131315		SNORD114-19								
																			HIGD1C	MIR1268A												HERC2P7		SNORD114-20								
																			GLYCAM1	MIR4292												GOLGA8F		SNORD114-21								
																			SNORA2A	MIR3154												GOLGA8DP		SNORD114-22								
																			SNORA2B	MIR3621												JMJD7		SNORD114-23								
																			SNORA2C	MIR3689A												PLA2G4B		SNORD114-24								
																			MIR615	MIR3689B												POTEB2		SNORD114-25								
																			HOTAIR	TMEM210												WHAMMP1		SNORD114-26								
																			KRT73-AS1	LOC100506100												LOC100288637		SNORD114-27								
																			PCED1B-AS1	LINC01503												LOC100289656		SNORD114-28								
																			LOC100240734	LINC00963												MIR1233-1		SNORD114-29								
																			LOC100240735	PPP1R26-AS1												MIR1268A		SNORD114-30								
																			BCDIN3D-AS1	MIR3689D1												MIR3118-3		SNORD114-31								
																			LOC100288798	MIR3689F												MIR1233-2		MIR758								
																			MIR1293	MIR4669												MIR3118-4		MIR668								
																			MIR1291	MIR4673												MIR3118-2		MIR770								
																			LOC100335030	MIR4674												MIR4310		SNORA11B								
																			LOC100506125	MIR3689C												MIR3942		MIR300								
																			BLOC1S1-RDH5	MIR219B												INAFM2		MIR541								
																			MIR4701	MIR3689D2												RAD51-AS1		MIR665								
																			MIR3198-2	MIR4672												DPH6-AS1		MIR543								
																			MIR4494	MIR3689E												MIR4509-1		MIR889								
																			MIR4698	MIR4479												MIR4509-2		ZBTB42								
																			LOC100652999	MIR548AW												MIR4508		LOC100129345								
																			HOXC-AS1	LOC101448202												MIR4510		LINC00605								
																			HOXC-AS2	NALT1												MIR4715		MIR1247								
																			HOXC-AS3	LOC101928525												TMCO5B		MIR1185-1								
																			HOXC13-AS	HSPC324												MIR5701-2		MIR1185-2								
																			LOC101927267	LOC101928786												MIR5701-1		MIR1197								
																			LOC101927292	LOC101928932												SNORD116-30		MIR1193								
																			LOC101927318	LOC101929331												SNORD115-46		MIR4309								
																			PCBP2-OT1	PRRX2-AS1												LOC100996255		MIR3173								
																			CISTR	MIR6722												POTEB		TUNAR								
																			MIR6757	MIR6856												GOLGA8R		MEG9								
																			MIR6505	MIR6877												LOC101927079		LOC100507277								
																			LOC102724050	MIR7114												LOC101928042		LOC100507437								
																			LOC105369747	MIR6855												LOC101928134		MIR4507								
																			LOC105369781	LOC102723566												LOC101928174		MIR4506								
																			LOC105369971	LOC105376306												LOC101928227		MIR203B								
																			SNORD133	LOC105376331												PWRN3		MIR151B								
																				SNORD141A												GABRG3-AS1		MIR4538								
																																MIR8063		MIR4710								
																																POTEB3		MIR4539								
																																LOC102725022		MIR4537								
																																PWRN4		MIR2392								
																																LOC105370757		MIR5195								
																																LOC105370941		LOC101928909								
																																LOC105370943		LOC101929002								
																																BUB1B-PAK6		LOC101929080								
																																		LOC101929241								
																																		SNHG24								
																																		LOC101929634								
																																		MIR6765								
																																		MIR7641-2								
																																		MIR8071-1								
																																		MIR6764								
																																		LOC102723354								
																																		LOC105370619								
																																		LOC105370622								
																																		LINC00677								
																																		LOC105370697								
																																		LOC105378183								
																																		LOC107984640								
